Pais,Code,Year,Deaths from HIV/AIDS (Number),New infections of HIV/AIDS (new cases of HIV infection),Number of people living with HIV (x10) (tens of people living with HIV),Population
Colombia,COL,1990,429.5881894267906,2179.88218846,745.9131484210001,33102575
Colombia,COL,1991,521.3494903871102,3093.70377427,1041.70393119,33758337
Colombia,COL,1992,543.8891361162904,3875.22634517,1348.0776424800001,34422569
Colombia,COL,1993,673.4046761742588,4500.30913246,1657.5596942299999,35091275
Colombia,COL,1994,927.3024930953117,4942.83101448,1961.6539415500001,35758979
Colombia,COL,1995,1039.5034567743235,5175.98147584,2251.57245495,36421438
Colombia,COL,1996,1089.9871754225953,5100.0322598,2592.6974519600003,37076387
Colombia,COL,1997,1818.6276472206207,4734.53213925,3011.8292217,37723800
Colombia,COL,1998,1823.5345902355507,4247.152102,3440.8712044900003,38364309
Colombia,COL,1999,2029.3074464203062,3817.43996947,3805.2226556000005,38999471
Colombia,COL,2000,2205.332345865602,3636.98317452,4024.79659161,39629968
Colombia,COL,2001,2499.409312990396,3696.41154405,4149.08878677,40255967
Colombia,COL,2002,2468.4514758800983,3835.46764658,4282.70490113,40875360
Colombia,COL,2003,2599.7459087869024,4027.93219791,4431.3664289,41483869
Colombia,COL,2004,2700.4718827878014,4244.18844552,4599.51081344,42075955
Colombia,COL,2005,2687.8209266529993,4449.14731963,4787.9865082999995,42647723
Colombia,COL,2006,2675.4189182926,4667.47075549,5028.463159540001,43200897
Colombia,COL,2007,2772.5406376212995,4938.60830444,5337.24694963,43737516
Colombia,COL,2008,2754.347125315804,5245.60703227,5693.19144491,44254975
Colombia,COL,2009,2695.3974790204975,5567.41369886,6071.671308010001,44750054
Colombia,COL,2010,2799.8993048681,5887.08727498,6449.15159314,45222700
Colombia,COL,2011,2728.413632562502,6237.1451324,6872.18452979,45663099
Colombia,COL,2012,2627.4329774997027,6656.48834805,7397.475134259999,46076848
Colombia,COL,2013,2730.8276891801997,7139.39104926,8017.256997490001,46497267
Colombia,COL,2014,2717.5598590240033,7675.53880865,8721.159534850001,46969209
Colombia,COL,2015,2688.2563153994006,8254.92890763,9499.493976720001,47520667
Colombia,COL,2016,2659.4884332782995,8872.5049885,10344.866078400002,48171392
Colombia,COL,2017,2636.5587719489977,9518.54984417,11247.297199,48901066
